unom,T1 < min,P1 <= 0,Сильная течь в системе отопления,Протечка труб в подъезде,Течь в системе отопления,T1 > max,P2 <= 0,Температура в квартире ниже нормативной,Отсутствие отопления в доме,Температура в помещении общего пользования ниже нормативной,Аварийная протечка труб в подъезде,Крупные пожары,ID ODS,№ ОДС,ods_adress,ID УУ,Адрес,Округ,Группа,Потребитель (или УК),ЦТП,Объём поданого теплоносителя в систему ЦО,Объём обратного теплоносителя из системы ЦО,Температура подачи,Температура обратки,Наработка часов счётчика,Проект,Количество этажей,Количество подъездов,Количество квартир,Общая площадь,Общая площадь жилых помещений,Общая площадь нежилых помещений,Материалы стен,Признак аварийности здания ,Количество пассажирских лифтов,Количество грузопассажирских лифтов,Материалы кровли по БТИ,Типы жилищного фонда,Статусы МКД
309,1,0,0,0,0,0,0,0,0,0,0,0,143495140.0,ОДС №2-Восточный,"город Москва, посёлок Акулово, дом 1",785496920.0,"пос. Акулово, д. 9",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",03-09-315,93.80525744131455,96.1581620375587,55.25896713615023,45.74253521126761,23.330281694835683,нет данных,3.0,2.0,24.0,1018.5,978.1,40.4,кирпичные,нет,0.0,0.0,асбофанера-шифер,МКД,в эксплуатации
313,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,нет данных,3.0,2.0,12.0,1216.4,1046.5,169.9,кирпичные,нет,0.0,0.0,стальная,МКД,в эксплуатации
314,0,0,0,0,0,0,0,1,1,0,0,0,143495140.0,ОДС №2-Восточный,"город Москва, посёлок Акулово, дом 1",785497048.0,"пос. Акулово, д. 15",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",03-09-315,134.79204047802196,134.50653814285712,57.88429062637362,42.46397329120879,23.997741697802198,нет данных,5.0,3.0,60.0,2489.5,2489.5,0.0,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
316,0,0,0,0,0,0,0,1,0,0,0,0,143495140.0,ОДС №2-Восточный,"город Москва, посёлок Акулово, дом 1",785496973.0,"пос. Акулово, д. 22",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",03-09-315,176.2483219624413,176.09656506572767,56.669052816901406,42.42811182159625,23.948139028169013,114-85-1,5.0,6.0,80.0,4204.5,4204.5,0.0,кирпичные,нет,0.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
317,0,0,0,0,0,0,0,1,0,0,0,0,143495140.0,ОДС №2-Восточный,"город Москва, посёлок Акулово, дом 1",785497040.0,"пос. Акулово, д. 24",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ВОСТОЧНЫЙ""",03-09-315,644.4441092206573,642.0097197511737,56.81182181690142,50.302409046948355,23.995042112676053,I-515,9.0,4.0,143.0,7827.0,7070.0,757.0,панельные,нет,4.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
364,0,0,1,0,1,1,0,1,1,0,0,0,143495241.0,ОДС №19-Гольяново,"город Москва, Уральская улица, дом 15",144360363.0,"Алтайская ул., д. 2",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/032,232.97028132394365,232.19052596713615,92.3789601455399,50.51850252112676,23.99974324882629,,,,,,,,,,,,,,
365,0,0,0,0,0,0,0,1,0,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",144366750.0,"Алтайская ул., д. 5",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/003,278.3438783755869,269.9408652394366,56.429634971830986,44.04603261032864,23.979009638497654,П-68,16.0,1.0,111.0,5366.1,5359.0,632.1304779315749,легкобетонные блоки,нет,1.0,1.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
366,0,0,0,0,0,1,0,1,0,0,0,0,143495241.0,ОДС №19-Гольяново,"город Москва, Уральская улица, дом 15",192623959.0,"Алтайская ул., д. 6",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/008,142.94065402843603,142.77001421800946,89.45741520853079,71.91872936492891,23.074928909952604,П-18/22,12.0,1.0,84.0,3644.7,3644.7,0.0,из железобетонных сегментов,нет,2.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
367,0,0,0,1,0,0,0,1,1,0,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",162028154.0,"Алтайская ул., д. 7",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/003,853.5109668450705,846.965595657277,56.978359370892015,48.30936250704225,23.99963322065728,II-68-02/16М,16.0,2.0,207.0,10790.5,10783.5,7.0,из железобетонных сегментов,нет,2.0,2.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
368,0,0,0,0,0,1,0,1,0,0,0,0,143495241.0,ОДС №19-Гольяново,"город Москва, Уральская улица, дом 15",170435200.0,"Алтайская ул., д. 8",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0601/008,51.659056338028165,51.58164788732394,87.8036776197183,50.97496089201877,22.855164319248825,П-18/22,12.0,1.0,81.0,3668.6,3495.7,172.9,крупноблочные,нет,2.0,0.0,мягкая-совмещенная с рубероидным покрытием,МКД,в эксплуатации
369,0,0,0,0,0,0,0,1,1,1,0,0,143495311.0,ОДС №21-Гольяново,"город Москва, Байкальская улица, дом 41, корпус 3",184361636.0,"Алтайская ул., д. 9, к. 1",ВАО,МКД,"ГБУ ""ЖИЛИЩНИК РАЙОНА ГОЛЬЯНОВО""",04-06-0615/003,913.1477406103288,923.2426643192488,57.04622113615023,48.64261271361502,23.26450057276995,,,,,,,,,,,,,,
